Year,Month,SST_Anomaly,ENSO_Phase
1883,Oct,-0.42,Neutral
1883,Sep,-0.17,Neutral
1884,Apr,0.26,Neutral
1884,Aug,0.2,Neutral
1884,Dec,0.35,Neutral
1884,Feb,-0.01,Neutral
1884,Jan,-0.11,Neutral
1884,Jul,0.28,Neutral
1884,Jun,-0.13,Neutral
1884,Mar,-0.0,Neutral
1884,May,0.4,Neutral
1884,Nov,0.3,Neutral
1884,Oct,0.29,Neutral
1884,Sep,0.18,Neutral
1885,Apr,-0.02,Neutral
1885,Aug,0.34,Neutral
1885,Dec,1.02,Neutral
1885,Feb,0.27,Neutral
1885,Jan,0.12,Neutral
1885,Jul,0.08,Neutral
1885,Jun,0.17,Neutral
1885,Mar,0.12,Neutral
1885,May,0.44,Neutral
1885,Nov,0.81,Neutral
1885,Oct,0.72,Neutral
1885,Sep,0.52,Neutral
1886,Apr,-0.37,Neutral
1886,Aug,-1.03,Neutral
1886,Dec,-1.44,Neutral
1886,Feb,-0.1,Neutral
1886,Jan,0.17,Neutral
1886,Jul,-0.97,Neutral
1886,Jun,-0.9,Neutral
1886,Mar,-0.11,Neutral
1886,May,-0.85,La Niña
1886,Nov,-1.34,La Niña
1886,Oct,-1.14,La Niña
1886,Sep,-1.21,La Niña
1887,Apr,-1.18,La Niña
1887,Aug,-0.62,La Niña
1887,Dec,0.15,Neutral
1887,Feb,-1.02,La Niña
1887,Jan,-0.68,La Niña
1887,Jul,-0.55,La Niña
1887,Jun,-0.56,La Niña
1887,Mar,-1.17,La Niña
1887,May,-1.14,La Niña
1887,Nov,0.04,Neutral
1887,Oct,-0.12,Neutral
1887,Sep,-0.34,Neutral
1888,Apr,0.3,Neutral
1888,Aug,0.93,Neutral
1888,Dec,1.67,Neutral
1888,Feb,0.66,Neutral
1888,Jan,0.15,Neutral
1888,Jul,0.56,Neutral
1888,Jun,0.4,Neutral
1888,Mar,0.4,Neutral
1888,May,0.47,Neutral
1888,Nov,2.21,Neutral
1888,Oct,1.42,Neutral
1888,Sep,0.58,Neutral
1889,Apr,0.46,Neutral
1889,Aug,-0.99,Neutral
1889,Dec,-1.25,Neutral
1889,Feb,1.47,Neutral
1889,Jan,1.98,Neutral
1889,Jul,-0.76,Neutral
1889,Jun,0.09,Neutral
1889,Mar,0.83,Neutral
1889,May,0.32,Neutral
1889,Nov,-1.08,La Niña
1889,Oct,-1.31,La Niña
1889,Sep,-0.92,La Niña
1890,Apr,-1.14,La Niña
1890,Aug,-1.38,La Niña
1890,Dec,-0.68,La Niña
1890,Feb,-2.11,La Niña
1890,Jan,-2.49,La Niña
1890,Jul,-0.92,La Niña
1890,Jun,-0.86,La Niña
1890,Mar,-1.15,La Niña
1890,May,-1.0,La Niña
1890,Nov,-1.07,La Niña
1890,Oct,-1.26,La Niña
1890,Sep,-1.29,La Niña
1891,Apr,0.15,Neutral
1891,Aug,0.05,Neutral
1891,Dec,0.01,Neutral
1891,Feb,-0.25,Neutral
1891,Jan,-0.45,Neutral
1891,Jul,0.11,Neutral
1891,Jun,0.29,Neutral
1891,Mar,-0.07,Neutral
1891,May,0.13,Neutral
1891,Nov,0.06,Neutral
1891,Oct,-0.03,Neutral
1891,Sep,-0.08,Neutral
1892,Apr,-0.65,Neutral
1892,Aug,-0.63,Neutral
1892,Dec,-1.18,Neutral
1892,Feb,-0.34,Neutral
1892,Jan,-0.5,La Niña
1892,Jul,-0.62,La Niña
1892,Jun,-0.57,La Niña
1892,Mar,-0.58,La Niña
1892,May,-0.72,La Niña
1892,Nov,-1.62,La Niña
1892,Oct,-1.54,La Niña
1892,Sep,-1.07,La Niña
1893,Apr,-1.3,La Niña
1893,Aug,-1.29,La Niña
1893,Dec,-1.0,La Niña
1893,Feb,-1.16,La Niña
1893,Jan,-1.23,La Niña
1893,Jul,-1.32,La Niña
1893,Jun,-1.19,La Niña
1893,Mar,-1.24,La Niña
1893,May,-1.32,La Niña
1893,Nov,-1.3,La Niña
1893,Oct,-1.36,La Niña
1893,Sep,-1.28,La Niña
1894,Apr,-0.92,La Niña
1894,Aug,-0.8,La Niña
1894,Dec,-0.48,Neutral
1894,Feb,-1.13,La Niña
1894,Jan,-1.09,La Niña
1894,Jul,-0.88,La Niña
1894,Jun,-0.84,La Niña
1894,Mar,-1.06,La Niña
1894,May,-1.0,La Niña
1894,Nov,-0.92,La Niña
1894,Oct,-0.82,La Niña
1894,Sep,-1.1,La Niña
1895,Apr,-0.17,Neutral
1895,Aug,0.36,Neutral
1895,Dec,0.48,Neutral
1895,Feb,-0.49,Neutral
1895,Jan,-0.73,Neutral
1895,Jul,-0.26,Neutral
1895,Jun,-0.21,Neutral
1895,Mar,-0.4,Neutral
1895,May,-0.03,Neutral
1895,Nov,0.44,Neutral
1895,Oct,0.32,Neutral
1895,Sep,0.42,Neutral
1896,Apr,-0.01,Neutral
1896,Aug,1.05,Neutral
1896,Dec,1.55,Neutral
1896,Feb,0.09,Neutral
1896,Jan,0.16,Neutral
1896,Jul,0.43,Neutral
1896,Jun,-0.21,Neutral
1896,Mar,0.15,Neutral
1896,May,-0.04,Neutral
1896,Nov,1.51,Neutral
1896,Oct,1.1,Neutral
1896,Sep,1.04,Neutral
1897,Apr,-0.22,Neutral
1897,Aug,-0.15,Neutral
1897,Dec,-0.4,Neutral
1897,Feb,1.14,Neutral
1897,Jan,1.49,Neutral
1897,Jul,0.07,Neutral
1897,Jun,-0.02,Neutral
1897,Mar,0.54,Neutral
1897,May,-0.17,Neutral
1897,Nov,-0.61,Neutral
1897,Oct,-0.57,Neutral
1897,Sep,-0.24,Neutral
1898,Apr,-0.61,La Niña
1898,Aug,-0.76,La Niña
1898,Dec,-0.78,La Niña
1898,Feb,-0.57,La Niña
1898,Jan,-0.51,La Niña
1898,Jul,-0.63,La Niña
1898,Jun,-0.28,Neutral
1898,Mar,-0.79,Neutral
1898,May,-0.59,Neutral
1898,Nov,-0.66,Neutral
1898,Oct,-0.33,Neutral
1898,Sep,-0.19,Neutral
1899,Apr,-0.34,Neutral
1899,Aug,0.63,Neutral
1899,Dec,1.51,Neutral
1899,Feb,-0.71,Neutral
1899,Jan,-0.75,Neutral
1899,Jul,-0.02,Neutral
1899,Jun,0.09,Neutral
1899,Mar,-0.56,Neutral
1899,May,0.04,Neutral
1899,Nov,1.29,Neutral
1899,Oct,0.92,Neutral
1899,Sep,0.43,Neutral
1900,Apr,0.66,El Niño
1900,Aug,0.78,El Niño
1900,Dec,0.6,El Niño
1900,Feb,1.29,El Niño
1900,Jan,1.41,El Niño
1900,Jul,0.75,El Niño
1900,Jun,0.76,El Niño
1900,Mar,0.99,El Niño
1900,May,0.54,El Niño
1900,Nov,0.14,Neutral
1900,Oct,0.42,Neutral
1900,Sep,0.56,Neutral
1901,Apr,-0.13,Neutral
1901,Aug,-0.38,Neutral
1901,Dec,-0.35,Neutral
1901,Feb,0.29,Neutral
1901,Jan,0.82,Neutral
1901,Jul,-0.3,Neutral
1901,Jun,-0.26,Neutral
1901,Mar,0.05,Neutral
1901,May,-0.19,Neutral
1901,Nov,-0.39,Neutral
1901,Oct,-0.31,Neutral
1901,Sep,-0.3,Neutral
1902,Apr,0.2,Neutral
1902,Aug,1.21,Neutral
1902,Dec,1.39,Neutral
1902,Feb,-0.26,Neutral
1902,Jan,-0.5,Neutral
1902,Jul,1.44,Neutral
1902,Jun,0.77,Neutral
1902,Mar,-0.27,Neutral
1902,May,0.47,Neutral
1902,Nov,1.54,Neutral
1902,Oct,1.4,Neutral
1902,Sep,1.44,Neutral
1903,Apr,0.36,Neutral
1903,Aug,-0.32,Neutral
1903,Dec,-1.02,Neutral
1903,Feb,0.93,Neutral
1903,Jan,1.33,Neutral
1903,Jul,-0.49,Neutral
1903,Jun,0.29,Neutral
1903,Mar,0.79,Neutral
1903,May,-0.1,Neutral
1903,Nov,-0.76,Neutral
1903,Oct,-0.42,Neutral
1903,Sep,-0.6,Neutral
1904,Apr,-0.72,Neutral
1904,Aug,0.54,Neutral
1904,Dec,0.86,Neutral
1904,Feb,-0.79,Neutral
1904,Jan,-0.73,Neutral
1904,Jul,0.75,Neutral
1904,Jun,0.14,Neutral
1904,Mar,-0.85,Neutral
1904,May,-0.4,Neutral
1904,Nov,0.15,Neutral
1904,Oct,0.91,Neutral
1904,Sep,0.01,Neutral
1905,Apr,0.29,Neutral
1905,Aug,1.04,El Niño
1905,Dec,1.17,El Niño
1905,Feb,0.72,El Niño
1905,Jan,0.68,El Niño
1905,Jul,0.82,El Niño
1905,Jun,0.59,El Niño
1905,Mar,0.92,El Niño
1905,May,1.08,El Niño
1905,Nov,0.83,El Niño
1905,Oct,1.12,El Niño
1905,Sep,1.42,El Niño
1906,Apr,0.45,Neutral
1906,Aug,-0.37,Neutral
1906,Dec,-0.51,Neutral
1906,Feb,0.67,Neutral
1906,Jan,0.89,Neutral
1906,Jul,-0.49,Neutral
1906,Jun,0.15,Neutral
1906,Mar,0.8,Neutral
1906,May,0.02,Neutral
1906,Nov,-0.33,Neutral
1906,Oct,-0.87,Neutral
1906,Sep,-0.81,Neutral
1907,Apr,-0.56,Neutral
1907,Aug,-0.65,Neutral
1907,Dec,-0.09,Neutral
1907,Feb,-0.41,Neutral
1907,Jan,-0.57,Neutral
1907,Jul,-0.55,Neutral
1907,Jun,-0.41,Neutral
1907,Mar,-0.43,Neutral
1907,May,-0.47,Neutral
1907,Nov,-0.25,Neutral
1907,Oct,-0.25,Neutral
1907,Sep,0.13,Neutral
1908,Apr,-0.55,Neutral
1908,Aug,-0.4,Neutral
